Year-Month,start_date,end_date,AOV,number_of_orders,Swiggy Marketing %,Swiggy Total commission%,Loocos Recieved%,Loocos Amount,Marketing Charges,payout_date,Source File
2024-11,2024-11-24 11:46:01,2024-11-30 20:16:12,418.0,22,4.2%,32.25%,67.75%,9188.0,566.0,2024-12-04,invoice Annexure_708466_04122024_1733327318367.xlsx
2024-11,2024-11-17 17:57:27,2024-11-23 20:38:04,285.0,22,4.8%,31.18%,68.82%,6281.0,433.0,2024-11-27,invoice Annexure_708466_27112024_1732723115564.xlsx
2024-11,2024-11-10 11:15:44,2024-11-16 17:31:55,313.0,26,6.7%,33.09%,66.91%,8141.0,799.0,2024-11-20,invoice Annexure_708466_20112024_1732105120816.xlsx
2024-11,2024-11-01 18:07:10,2024-11-09 18:26:02,313.0,43,3.0%,29.0%,68.68%,13438.0,588.0,2024-11-13,invoice Annexure_708466_13112024_1731506837292.xlsx
2024-10,2024-10-27 12:20:42,2024-10-31 20:48:40,299.0,23,4.4%,29.03%,70.97%,6877.0,416.0,2024-11-05,invoice Annexure_708466_05112024_1730826863846.xlsx
2024-10,2024-10-16 13:35:14,2024-10-26 20:42:16,210.0,18,7.7%,34.57%,65.43%,3776.0,435.0,2024-10-30,invoice Annexure_708466_30102024_1730307786353.xlsx
2024-10,2024-10-13 13:03:56,2024-10-19 20:48:04,319.0,26,4.4%,29.79%,70.21%,8301.0,520.0,2024-10-24,invoice Annexure_708466_24102024_1729708468823.xlsx
2024-10,2024-10-06 11:56:08,2024-10-12 21:40:48,262.0,30,3.6%,29.66%,67.01%,7868.0,412.0,2024-10-16,invoice Annexure_708466_16102024_1729065039973.xlsx
2024-10,2024-10-01 11:54:02,2024-10-05 18:02:21,282.0,22,3.4%,30.28%,69.72%,6200.0,297.0,2024-10-09,invoice Annexure_708466_09102024_1728465187665.xlsx
2024-09,2024-09-22 15:33:58,2024-09-30 21:58:58,298.0,33,2.4%,29.17%,70.83%,9850.0,327.0,2024-10-04,invoice Annexure_708466_04102024_1728058070949.xlsx
2024-09,2024-09-15 12:53:44,2024-09-21 20:02:32,336.0,38,1.2%,28.63%,71.37%,12757.0,209.0,2024-09-25,invoice Annexure_708466_25092024_1727231573370.xlsx
2024-09,2024-09-08 15:58:29,2024-09-14 21:28:28,276.0,27,0.0%,25.06%,74.94%,7456.0,0.0,2024-09-18,invoice Annexure_708466_18092024_1726664697742.xlsx
2024-09,2024-09-01 13:15:05,2024-09-07 20:14:52,290.0,35,0.0%,26.21%,73.79%,10158.0,0.0,2024-09-11,invoice Annexure_708466_11092024_1726052825104.xlsx
2024-08,2024-08-25 17:37:32,2024-08-31 21:29:41,313.0,19,3.1%,29.58%,70.42%,5949.0,258.0,2024-09-04,invoice Annexure_708466_04092024_1725460397762.xlsx
2024-08,2024-08-18 11:13:41,2024-08-24 19:37:27,310.0,34,0.0%,25.82%,74.18%,10543.0,0.0,2024-08-28,invoice Annexure_708466_28082024_1724855881437.xlsx
2024-08,2024-08-11 12:13:12,2024-08-17 21:51:02,338.0,27,0.0%,25.11%,74.89%,9113.0,0.0,2024-08-21,invoice Annexure_708466_21082024_1724246339829.xlsx
2024-08,2024-08-04 11:39:30,2024-08-10 19:43:34,338.0,32,3.1%,29.74%,70.26%,10814.0,477.0,2024-08-14,invoice Annexure_708466_14082024_1723650813502.xlsx
2024-08,2024-08-01 11:12:36,2024-08-03 19:17:40,234.0,10,5.4%,28.7%,61.3%,2345.0,187.0,2024-08-08,invoice Annexure_708466_08082024_1723135775085.xlsx
