Vendor_Name,Item_Name,UOM,Unit_Price,Date
Loocos Pizza CPY,Chicken Masala-Eastern,Kg,450.0,2022-11-30
Loocos Pizza CPY,Dried Yeast,Kg,332.0,2022-11-30
Loocos Pizza CPY,Egg,Nos,6.0,2022-11-30
Loocos Pizza CPY,Flexi Cream Gold,Nos,195.0,2022-11-30
Loocos Pizza CPY,French Fries 6mm-ITC,Nos,350.0,2022-11-30
Loocos Pizza CPY,Ice-cube,Pkt,30.0,2022-11-30
Loocos Pizza CPY,M Thuvara,Kg,118.98,2022-11-30
Loocos Pizza CPY,Mc Cain Potato Wedges 2.5kg,Kg,172.0,2022-11-30
Loocos Pizza CPY,Micro 16x20,Nos,2.8,2022-11-30
Loocos Pizza CPY,milk-Milma-525ml,Pkt,25.0,2022-11-30
Loocos Pizza CPY,Mustard-Oil,Ltr,220.0,2022-11-30
Loocos Pizza CPY,Neo Red Paprika 3Kg,Kg,140.0,2022-11-30
Loocos Pizza CPY,Oregano Sprinkler 500g,Grams,0.58,2022-11-30
Loocos Pizza CPY,Palm Oil,Pkt,102.0,2022-11-30
Loocos Pizza CPY,plastic cover 5kg,Kg,170.0,2022-11-30
Loocos Pizza CPY,plastic Cover-1kg,Pkt,170.0,2022-11-30
Loocos Pizza CPY,Ponni Rice,Kg,42.0,2022-11-30
Loocos Pizza CPY,Processed cheese block,Kg,489.0,2022-11-30
Loocos Pizza CPY,Salt,Kg,12.0,2022-11-30
Loocos Pizza CPY,Schezwan sauce,Kg,340.0,2022-11-30
Loocos Pizza CPY,Sugar-Loose,Kg,40.0,2022-11-30
Loocos Pizza CPY,Sumeru Nuggets Premium 1Kg,Kg,298.0,2022-11-30
Loocos Pizza CPY,Tissue,Nos,11.0,2022-11-30
Loocos Pizza CPY,Turmeric Powder,Kg,200.0,2022-11-30
Loocos Pizza CPY,Vanilla Ice-cream,Kg,198.64,2022-11-30
Loocos Pizza CPY,Veeba Barbequesauce 1KG,Kg,148.21,2022-11-30
Loocos Pizza CPY,Veeba T. Ketchup 1.2KG,Kg,81.67,2022-11-30
Loocos Pizza CPY,Zippy Chicken Salami,Kg,279.0,2022-11-30
Local Purchase,Staff Attendence Register,Nos,24.0,2022-11-01
Local Purchase,Chicken-Whole-Staff,Kg,128.57,2022-11-02
City Mart Supermarket,AVT Premium Tea,Pkt,31.0,2022-11-02
Isha Fresh Vegitables (Hisham),Brocoli,Kg,200.0,2022-11-02
KTP Vegitables,Green Chilly-Veg,Kg,46.0,2022-11-02
KTP Vegitables,Carrot-Veg,Kg,50.0,2022-11-03
MBS Traders,Micro 16x20,Pkt,75.0,2022-11-04
MBS Traders,Exo Dishwash cake,Nos,4.5,2022-11-04
KTP Vegitables,Onion-Veg,Kg,40.0,2022-11-04
City Mart Supermarket,Atta-Tasty-pkt-1kg,Nos,53.0,2022-11-05
MBS Traders,Turmeric Powder,Pkt,20.0,2022-11-05
Local Purchase,Rice-Ponni,Kg,35.0,2022-11-06
