Date,Item,Opening_stock,Closing_stock,Actual,Expected,Difference
2025-06-05,cheese,33650.0,32299.999999999996,1350.0,1200.0,150.0
2025-06-04,cheese,35100.0,33650.0,1450.0,1390.0,60.0
2025-06-03,cheese,36900.0,35100.0,1800.0,1745.0,55.0
2025-06-02,cheese,13950.0,12900.0,1050.0,980.0,70.0
2025-06-01,cheese,16149.999999999998,13950.0,2200.0,2170.0,30.0
2025-05-31,cheese,18650.0,16149.999999999998,2500.0,2430.0,70.0
2025-05-30,cheese,21180.0,18650.0,2530.0,2525.0,5.0
2025-05-29,cheese,23600.0,21180.0,2420.0,2380.0,40.0
2025-05-28,cheese,25300.0,23600.0,1700.0,1685.0,15.0
2025-05-27,cheese,26750.0,25300.0,1450.0,1395.0,55.0
2025-05-26,cheese,16300.0,14750.0,1550.0,1485.0,65.0
2025-05-25,cheese,18300.0,16300.0,2000.0,1950.0,50.0
2025-05-24,cheese,20100.0,18300.0,1800.0,1780.0,20.0
2025-05-23,cheese,21800.0,20100.0,1700.0,1670.0,30.0
2025-05-22,cheese,24700.0,21800.0,2900.0,2910.0,-10.0
2025-05-21,cheese,27470.0,24700.0,2770.0,2830.0,-60.0
2025-05-20,cheese,29100.0,27470.0,1630.0,1660.0,-30.0
2025-05-19,cheese,20650.0,19100.0,1550.0,1558.0,-8.0
2025-05-18,cheese,22750.0,20650.0,2100.0,2100.0,0.0
2025-05-17,cheese,24450.0,22750.0,1700.0,1660.0,40.0
2025-05-16,cheese,25975.0,24450.0,1525.0,1470.0,55.0
2025-05-15,cheese,28550.0,26000.0,2550.0,2625.0,-75.0
2025-05-15,cheese,28550.0,25975.0,2575.0,2625.0,-50.0
2025-05-14,cheese,31000.0,28550.0,2450.0,2415.0,35.0
2025-05-13,cheese,33950.0,31000.0,2950.0,3005.0,-55.0
2025-05-12,cheese,35430.0,33950.0,1480.0,1550.0,-70.0
2025-05-11,cheese,37450.0,35430.0,2020.0,2000.0,20.0
2025-05-10,cheese,40350.0,37450.0,2900.0,2948.0,-48.0
2025-05-09,cheese,42700.0,40350.0,2350.0,2405.0,-55.0
2025-05-08,cheese,44500.0,42700.0,1800.0,1885.0,-85.0
2025-05-07,cheese,46750.0,44500.0,2250.0,2300.0,-50.0
2025-05-06,cheese,48700.0,46750.0,1950.0,1990.0,-40.0
2025-05-06,cheese,48700.0,46750.0,1950.0,1990.0,-40.0
2025-05-05,cheese,4000.0,700.0,3300.0,3350.0,-50.0
2025-05-04,cheese,5300.0,2250.0,3050.0,2948.0,102.0
2025-05-03,cheese,9900.0,5300.0,4600.0,4430.0,170.0
2025-05-02,cheese,12320.0,9900.0,2420.0,2303.0,117.0
2025-05-01,cheese,14430.0,12320.0,2110.0,2095.0,15.0
2025-04-30,cheese,17100.0,14430.0,2670.0,2630.0,40.0
2025-04-29,cheese,19170.0,17100.0,2070.0,2035.0,35.0
2025-04-28,cheese,21480.0,19170.0,2310.0,2263.0,47.0
2025-04-27,cheese,24500.0,21480.0,3020.0,2983.0,37.0
2025-04-26,cheese,27750.0,24500.0,3250.0,3195.0,55.0
2025-04-25,cheese,29600.0,27750.0,1850.0,1875.0,-25.0
2025-04-24,cheese,31900.0,29600.0,2300.0,2340.0,-40.0
2025-04-23,cheese,33400.0,31900.0,1500.0,1413.0,87.0
2025-04-22,cheese,35700.0,33400.0,2300.0,2355.0,-55.0
2025-04-21,cheese,13600.0,11700.0,1900.0,1925.0,-25.0
2025-04-21,cheese,13600.0,11700.0,1900.0,1925.0,-25.0
2025-04-20,cheese,16100.000000000002,13600.0,2500.0,2525.0,-25.0
2025-04-19,cheese,17950.0,16100.000000000002,1850.0,1920.0,-70.0
2025-04-18,cheese,20700.0,17950.0,2750.0,2605.0,145.0
2025-04-17,cheese,23650.0,20700.0,2950.0,2925.0,25.0
2025-04-16,cheese,26000.0,23650.0,2350.0,2325.0,25.0
2025-04-15,cheese,28700.0,26000.0,2700.0,2540.0,160.0
2025-04-14,cheese,7500.0,4700.0,2800.0,2740.0,60.0
